2.000000000000000111e-01,-6.490933500648669252e+00,5.416803172279285263e+02
2.999999999999999889e-01,-6.546286935691694175e+00,5.421901601899849084e+02
4.000000000000000222e-01,-6.510187223519523947e+00,5.381194507855284428e+02
5.000000000000000000e-01,-6.501994769277903430e+00,5.354994524599655961e+02
7.500000000000000000e-01,-5.454175883054189100e+00,4.882966829730813743e+02
1.000000000000000000e+00,-4.634849387198437753e+00,4.408417112464377396e+02
1.250000000000000000e+00,-3.599649022798526943e+00,3.950232981811022341e+02
1.500000000000000000e+00,-2.326296347540367293e+00,3.508055593271310499e+02
1.750000000000000000e+00,-9.343323206335067965e-01,3.136918239903763492e+02
2.000000000000000000e+00,5.602462988917980002e-01,2.805357256653274476e+02
2.250000000000000000e+00,2.244389424531791910e+00,2.506235586471719898e+02
2.500000000000000000e+00,3.624812713041209111e+00,2.257072221359345008e+02
