Speed,Angle,Torque,Force,,
0.2,-5,125.62901,878.92668,,
0.5,-5,131.22913,912.50592,,
1,-5,119.20922,837.6041,,
1.5,-5,98.061152,700.25207,,
2,-5,79.824707,552.41554,,
2.5,-5,58.017458,358.35816,,
0.2,0,91.346234,815.38142,,
0.5,0,91.192315,813.32028,,
1,0,73.972838,668.89833,,
1.5,0,60.732175,522.13249,,
2,0,43.240271,320.84452,,
2.5,0,16.485509,66.418424,,
0.2,5,57.781472,671.23576,,`
0.5,5,53.73911,619.24486,,
1,5,44.764439,485.05016,,
1.5,5,32.021246,289.64317,,
2,5,11.465582,41.854805,,
2.5,5,-19.472111,-256.12248,,
0.2,10,32.8606,482.05361,,
0.5,10,31.219162,436.38091,,
1,10,23.443326,258.92777,,
1.5,10,9.4979718,32.745906,,
2,10,-13.641932,-255.63796,,
2.5,10,-45.782182,-593.50611,,
