-0.011598,0.032207,0.348777,
-0.011372,0.031794,0.348777,
-0.010698,0.030567,0.348777,
-0.009594,0.028559,0.348777,
-0.008089,0.025824,0.348777,
-0.006227,0.022432,0.348777,
-0.004073,0.018465,0.348777,
-0.001740,0.014015,0.348777,
0.000660,0.009187,0.348777,
0.003005,0.004092,0.348777,
0.005163,-0.001153,0.348777,
0.007046,-0.006415,0.348777,
0.008658,-0.011529,0.348777,
0.009995,-0.016340,0.348777,
0.011038,-0.020709,0.348777,
0.011776,-0.024511,0.348777,
0.012207,-0.027638,0.348777,
0.012381,-0.029982,0.348777,
0.012190,-0.031516,0.348777,
0.011615,-0.032201,0.348777,
0.010744,-0.032003,0.348777,
0.009653,-0.030918,0.348777,
0.008339,-0.028979,0.348777,
0.006727,-0.026276,0.348777,
0.004922,-0.022861,0.348777,
0.002987,-0.018820,0.348777,
0.000991,-0.014257,0.348777,
-0.000995,-0.009290,0.348777,
-0.002879,-0.004041,0.348777,
-0.004555,0.001366,0.348777,
-0.006007,0.006772,0.348777,
-0.007264,0.012003,0.348777,
-0.008350,0.016896,0.348777,
-0.009292,0.021297,0.348777,
-0.010103,0.025076,0.348777,
-0.010759,0.028127,0.348777,
-0.011241,0.030366,0.348777,
-0.011534,0.031735,0.348777,
-0.011598,0.032207,0.348777,
